Time (s),ESC signal (탎),Servo 1 (탎),Servo 2 (탎),Servo 3 (탎),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (N/W),App message,Percent throtle,Thrust (gf)
1.5,1200,,,,0,12.07080135,1.285079493,10508,0,15.35776417,0,,52.17391304,0
4.5,1400,,,,0,11.99219794,3.281174616,15329,0,39.23089384,0,,60.86956522,0
7.5,1600,,,,0,11.8956738,5.369277411,18530,0,63.79339242,0,,69.56521739,0
10.5,1800,,,,0,11.722136,9.471692405,22982,0,110.954064,0,,78.26086957,0
13.5,2000,,,,0,11.59504143,11.69225355,24442,0,135.4454115,0,,86.95652174,0
16.5,2200,,,,0,11.5489608,11.56751674,24603,0,133.4367119,0,,95.65217391,0
19.5,2300,,,,0,11.51023414,11.61209663,24491,0,133.4933885,0,,100,0
22.5,2200,,,,0,11.48656763,11.38188006,24502,0,130.6028315,0,,95.65217391,0
25.5,2000,,,,0,11.45782299,11.423226,24430,0,130.7541339,0,,86.95652174,0
28.5,1800,,,,0,11.51184455,9.235881631,22606,0,106.1765116,0,,78.26086957,0
31.5,1600,,,,0,11.64787517,5.153895155,18365,0,59.91258287,0,,69.56521739,0
34.5,1400,,,,0,11.72699119,3.172831203,15247,0,37.01917079,0,,60.86956522,0
37.5,1200,,,,0,11.80896657,1.25055712,10496,0,14.65150505,0,,52.17391304,0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Full Throtle(ESC),2300,,,,,,,,,,,,,
Minimum Throtle(ESC),1000,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Propeller,5045R_GF,,,,,,,,,,,,,
Battery,Turnigy,3cell,11.1V,2700mah,30C,,,,,,,,,
Motor,RS2205-2300KV,,,,,,,,,,,,,
ESC,Afro,30A,,,,,,,,,,,,
